user_id,item_id,rating
1050,0,5.0
125,0,1.0
785,0,3.0
1495,0,5.0
164,0,1.0
114,0,5.0
812,1,5.0
950,1,5.0
1203,1,1.0
272,1,4.0
869,1,5.0
1011,1,3.0
160,2,5.0
1373,2,1.0
114,2,5.0
1001,2,4.0
610,2,5.0
147,3,5.0
345,3,4.0
807,3,5.0
695,3,5.0
1046,3,5.0
266,3,5.0
96,3,5.0
989,3,5.0
315,4,5.0
1268,4,5.0
18,4,5.0
1071,4,5.0
1456,4,5.0
3,5,4.0
55,5,5.0
1117,5,5.0
47,5,3.0
1070,5,5.0
1030,5,5.0
579,5,5.0
55,6,5.0
296,6,5.0
926,6,5.0
606,6,4.0
1254,6,5.0
1174,6,5.0
1521,6,4.0
414,7,5.0
55,7,5.0
505,7,5.0
338,7,5.0
261,7,2.0
60,7,5.0
1166,7,5.0
953,8,5.0
1150,8,5.0
1302,8,4.0
431,8,5.0
579,8,5.0
748,9,5.0
927,9,5.0
173,9,5.0
437,9,5.0
609,9,5.0
1055,10,5.0
922,10,5.0
961,10,4.0
860,10,4.0
1447,10,3.0
929,10,4.0
1095,10,2.0
96,10,5.0
1030,10,4.0
769,10,3.0
341,10,5.0
1472,10,4.0
1395,11,4.0
898,11,5.0
978,11,4.0
858,11,5.0
1014,11,2.0
229,11,4.0
248,11,5.0
1479,11,5.0
1369,11,5.0
1055,12,5.0
676,12,5.0
1197,12,4.0
371,12,4.0
831,12,4.0
1134,12,4.0
763,12,4.0
880,12,5.0
1499,12,5.0
53,12,5.0
852,12,5.0
215,12,5.0
1030,12,4.0
1210,12,3.0
711,12,5.0
819,12,5.0
179,12,4.0
148,13,5.0
907,13,5.0
691,13,2.0
222,13,4.0
1225,13,5.0
135,13,5.0
223,13,5.0
1210,13,5.0
1124,14,5.0
1186,14,5.0
237,14,5.0
93,14,5.0
326,14,5.0
134,14,5.0
527,14,3.0
554,14,4.0
510,14,5.0
876,14,5.0
390,14,5.0
590,14,5.0
325,14,4.0
637,14,5.0
176,14,2.0
848,14,4.0
55,15,5.0
977,15,5.0
693,15,5.0
1195,15,5.0
1003,15,5.0
1198,15,5.0
335,15,5.0
136,15,1.0
770,15,5.0
725,15,5.0
340,16,5.0
1362,16,5.0
246,16,5.0
1451,16,4.0
1095,16,4.0
856,17,5.0
1422,17,5.0
1498,17,5.0
642,17,5.0
18,17,3.0
1086,18,2.0
516,18,5.0
458,18,1.0
548,18,4.0
1291,18,1.0
1027,19,5.0
1190,19,4.0
1252,19,2.0
1,19,5.0
1074,19,5.0
294,19,5.0
641,19,5.0
1148,19,5.0
1086,20,5.0
1340,20,5.0
441,20,5.0
903,20,5.0
1008,20,1.0
166,20,5.0
1539,20,5.0
53,20,5.0
55,21,5.0
1341,21,5.0
1203,21,5.0
1389,21,5.0
1108,21,4.0
1463,22,5.0
1075,22,4.0
1526,22,5.0
213,22,4.0
246,22,5.0
664,22,5.0
1027,23,5.0
156,23,5.0
138,23,5.0
877,23,5.0
547,23,5.0
1447,23,1.0
423,23,4.0
1458,23,5.0
1027,24,5.0
138,24,5.0
1288,24,3.0
70,24,5.0
272,24,4.0
1210,24,4.0
1536,24,4.0
1213,25,5.0
346,25,3.0
824,25,5.0
1203,25,3.0
437,25,5.0
588,25,5.0
1373,26,5.0
1295,26,5.0
461,26,4.0
306,26,5.0
327,26,5.0
437,26,4.0
128,26,1.0
588,26,5.0
717,27,5.0
977,27,5.0
1440,27,1.0
932,27,3.0
295,27,5.0
1534,27,5.0
1352,27,4.0
1322,27,4.0
975,27,5.0
264,27,4.0
515,27,3.0
318,27,3.0
1228,27,5.0
982,28,5.0
1467,28,5.0
55,28,5.0
780,28,4.0
1373,28,1.0
1379,28,2.0
1002,28,5.0
219,28,5.0
718,28,4.0
1481,28,5.0
1203,28,4.0
1389,28,5.0
295,28,5.0
306,28,5.0
1154,28,4.0
437,28,5.0
171,28,5.0
522,28,4.0
190,28,5.0
311,28,5.0
176,28,4.0
1186,29,5.0
428,29,5.0
547,29,5.0
335,29,5.0
819,29,5.0
119,30,5.0
1055,30,5.0
386,30,5.0
231,30,4.0
314,30,5.0
188,30,5.0
893,30,4.0
1147,30,5.0
887,30,4.0
699,30,4.0
573,30,5.0
1462,30,4.0
17,30,2.0
1030,30,4.0
1145,30,5.0
998,30,2.0
1390,30,4.0
52,30,5.0
899,30,4.0
576,31,5.0
1194,31,4.0
146,31,4.0
89,31,3.0
741,31,3.0
135,31,5.0
213,31,3.0
1204,31,5.0
1447,31,2.0
1205,31,4.0
204,31,4.0
1389,32,4.0
679,32,4.0
1119,32,5.0
114,32,5.0
1479,32,3.0
1203,33,3.0
1389,33,1.0
368,33,3.0
60,33,5.0
437,33,5.0
